Broadcast Image,Tacticam Match,Cosine Similarity
broadcast_f0000_p0.jpg,tacticam_f0005_p1.jpg,0.6227
broadcast_f0000_p2.jpg,tacticam_f0040_p26.jpg,0.5653
broadcast_f0005_p0.jpg,tacticam_f0065_p8.jpg,0.8417
broadcast_f0005_p1.jpg,tacticam_f0040_p8.jpg,0.778
broadcast_f0005_p10.jpg,tacticam_f0035_p20.jpg,0.8296
broadcast_f0005_p11.jpg,tacticam_f0025_p17.jpg,0.8575
broadcast_f0005_p12.jpg,tacticam_f0135_p23.jpg,0.7731
broadcast_f0005_p13.jpg,tacticam_f0040_p22.jpg,0.7861
broadcast_f0005_p2.jpg,tacticam_f0035_p7.jpg,0.8508
broadcast_f0005_p3.jpg,tacticam_f0030_p18.jpg,0.7965
broadcast_f0005_p4.jpg,tacticam_f0120_p6.jpg,0.7945
broadcast_f0005_p5.jpg,tacticam_f0010_p10.jpg,0.7656
broadcast_f0005_p6.jpg,tacticam_f0130_p15.jpg,0.8103
broadcast_f0005_p7.jpg,tacticam_f0115_p11.jpg,0.762
broadcast_f0005_p8.jpg,tacticam_f0020_p9.jpg,0.8444
broadcast_f0005_p9.jpg,tacticam_f0025_p21.jpg,0.8536
broadcast_f0010_p0.jpg,tacticam_f0020_p18.jpg,0.8159
broadcast_f0010_p1.jpg,tacticam_f0055_p7.jpg,0.8064
broadcast_f0010_p10.jpg,tacticam_f0060_p4.jpg,0.812
broadcast_f0010_p11.jpg,tacticam_f0005_p15.jpg,0.8085
broadcast_f0010_p12.jpg,tacticam_f0040_p24.jpg,0.7799
broadcast_f0010_p2.jpg,tacticam_f0015_p3.jpg,0.8718
broadcast_f0010_p3.jpg,tacticam_f0132_p42.jpg,0.8494
broadcast_f0010_p4.jpg,tacticam_f0030_p23.jpg,0.8221
broadcast_f0010_p5.jpg,tacticam_f0010_p8.jpg,0.8087
broadcast_f0010_p6.jpg,tacticam_f0065_p10.jpg,0.8419
broadcast_f0010_p7.jpg,tacticam_f0070_p9.jpg,0.7448
broadcast_f0010_p8.jpg,tacticam_f0005_p3.jpg,0.8545
broadcast_f0010_p9.jpg,tacticam_f0025_p19.jpg,0.8248
broadcast_f0015_p0.jpg,tacticam_f0010_p2.jpg,0.7987
broadcast_f0015_p1.jpg,tacticam_f0040_p23.jpg,0.8133
broadcast_f0015_p10.jpg,tacticam_f0070_p9.jpg,0.7649
broadcast_f0015_p11.jpg,tacticam_f0010_p9.jpg,0.7716
broadcast_f0015_p12.jpg,tacticam_f0040_p22.jpg,0.7972
broadcast_f0015_p2.jpg,tacticam_f0030_p18.jpg,0.7693
broadcast_f0015_p3.jpg,tacticam_f0005_p3.jpg,0.8402
broadcast_f0015_p4.jpg,tacticam_f0150_p4.jpg,0.7847
broadcast_f0015_p5.jpg,tacticam_f0000_p13.jpg,0.8181
broadcast_f0015_p6.jpg,tacticam_f0025_p18.jpg,0.8166
broadcast_f0015_p7.jpg,tacticam_f0040_p8.jpg,0.8154
broadcast_f0015_p8.jpg,tacticam_f0075_p18.jpg,0.8737
broadcast_f0015_p9.jpg,tacticam_f0077_p10.jpg,0.8487
broadcast_f0020_p0.jpg,tacticam_f0040_p0.jpg,0.7514
broadcast_f0020_p1.jpg,tacticam_f0065_p8.jpg,0.8197
broadcast_f0020_p10.jpg,tacticam_f0040_p13.jpg,0.8356
broadcast_f0020_p11.jpg,tacticam_f0025_p15.jpg,0.7764
broadcast_f0020_p12.jpg,tacticam_f0040_p24.jpg,0.7364
broadcast_f0020_p2.jpg,tacticam_f0020_p0.jpg,0.854
broadcast_f0020_p3.jpg,tacticam_f0010_p9.jpg,0.802
broadcast_f0020_p4.jpg,tacticam_f0077_p10.jpg,0.8709
broadcast_f0020_p5.jpg,tacticam_f0105_p21.jpg,0.7845
broadcast_f0020_p6.jpg,tacticam_f0030_p18.jpg,0.8363
broadcast_f0020_p7.jpg,tacticam_f0160_p3.jpg,0.8161
broadcast_f0020_p8.jpg,tacticam_f0005_p3.jpg,0.8022
broadcast_f0020_p9.jpg,tacticam_f0135_p12.jpg,0.7655
broadcast_f0025_p0.jpg,tacticam_f0035_p2.jpg,0.7858
broadcast_f0025_p1.jpg,tacticam_f0075_p18.jpg,0.8476
broadcast_f0025_p10.jpg,tacticam_f0025_p15.jpg,0.7767
broadcast_f0025_p11.jpg,tacticam_f0010_p8.jpg,0.8335
broadcast_f0025_p15.jpg,tacticam_f0010_p8.jpg,0.8488
broadcast_f0025_p2.jpg,tacticam_f0088_p15.jpg,0.8223
broadcast_f0025_p3.jpg,tacticam_f0020_p18.jpg,0.8079
broadcast_f0025_p4.jpg,tacticam_f0055_p0.jpg,0.8229
broadcast_f0025_p5.jpg,tacticam_f0030_p8.jpg,0.8207
broadcast_f0025_p6.jpg,tacticam_f0005_p3.jpg,0.8173
broadcast_f0025_p7.jpg,tacticam_f0110_p1.jpg,0.7634
broadcast_f0025_p8.jpg,tacticam_f0000_p25.jpg,0.7921
broadcast_f0025_p9.jpg,tacticam_f0030_p0.jpg,0.7667
broadcast_f0030_p0.jpg,tacticam_f0065_p8.jpg,0.7813
broadcast_f0030_p1.jpg,tacticam_f0065_p8.jpg,0.7976
broadcast_f0030_p10.jpg,tacticam_f0030_p0.jpg,0.7741
broadcast_f0030_p11.jpg,tacticam_f0010_p8.jpg,0.8311
broadcast_f0030_p12.jpg,tacticam_f0010_p8.jpg,0.8267
broadcast_f0030_p13.jpg,tacticam_f0165_p24.jpg,0.7538
broadcast_f0030_p2.jpg,tacticam_f0005_p3.jpg,0.8323
broadcast_f0030_p3.jpg,tacticam_f0000_p0.jpg,0.8472
broadcast_f0030_p4.jpg,tacticam_f0089_p16.jpg,0.8622
broadcast_f0030_p5.jpg,tacticam_f0005_p3.jpg,0.8377
broadcast_f0030_p6.jpg,tacticam_f0055_p0.jpg,0.7976
broadcast_f0030_p7.jpg,tacticam_f0030_p8.jpg,0.8034
broadcast_f0030_p8.jpg,tacticam_f0005_p3.jpg,0.7965
broadcast_f0030_p9.jpg,tacticam_f0030_p18.jpg,0.8148
broadcast_f0035_p0.jpg,tacticam_f0065_p8.jpg,0.7689
broadcast_f0035_p1.jpg,tacticam_f0045_p4.jpg,0.7898
broadcast_f0035_p10.jpg,tacticam_f0135_p1.jpg,0.7468
broadcast_f0035_p11.jpg,tacticam_f0165_p24.jpg,0.737
broadcast_f0035_p12.jpg,tacticam_f0165_p24.jpg,0.7869
broadcast_f0035_p2.jpg,tacticam_f0005_p3.jpg,0.8045
broadcast_f0035_p3.jpg,tacticam_f0030_p8.jpg,0.8086
broadcast_f0035_p4.jpg,tacticam_f0137_p46.jpg,0.8218
broadcast_f0035_p5.jpg,tacticam_f0040_p8.jpg,0.8165
broadcast_f0035_p6.jpg,tacticam_f0030_p0.jpg,0.7668
broadcast_f0035_p7.jpg,tacticam_f0010_p16.jpg,0.7805
broadcast_f0035_p8.jpg,tacticam_f0005_p5.jpg,0.8168
broadcast_f0035_p9.jpg,tacticam_f0040_p18.jpg,0.8099
broadcast_f0040_p0.jpg,tacticam_f0030_p8.jpg,0.845
broadcast_f0040_p1.jpg,tacticam_f0000_p0.jpg,0.7936
broadcast_f0040_p10.jpg,tacticam_f0070_p21.jpg,0.7818
broadcast_f0040_p11.jpg,tacticam_f0175_p18.jpg,0.7674
broadcast_f0040_p2.jpg,tacticam_f0010_p2.jpg,0.8305
broadcast_f0040_p3.jpg,tacticam_f0055_p0.jpg,0.8283
broadcast_f0040_p4.jpg,tacticam_f0025_p17.jpg,0.8061
broadcast_f0040_p5.jpg,tacticam_f0137_p46.jpg,0.7976
broadcast_f0040_p6.jpg,tacticam_f0010_p10.jpg,0.8102
broadcast_f0040_p7.jpg,tacticam_f0040_p18.jpg,0.7914
broadcast_f0040_p8.jpg,tacticam_f0040_p0.jpg,0.7643
broadcast_f0040_p9.jpg,tacticam_f0040_p8.jpg,0.8433
broadcast_f0045_p0.jpg,tacticam_f0065_p8.jpg,0.7619
broadcast_f0045_p1.jpg,tacticam_f0115_p11.jpg,0.7743
broadcast_f0045_p2.jpg,tacticam_f0065_p8.jpg,0.8216
broadcast_f0045_p3.jpg,tacticam_f0015_p3.jpg,0.8482
broadcast_f0045_p4.jpg,tacticam_f0112_p34.jpg,0.7977
broadcast_f0045_p5.jpg,tacticam_f0010_p16.jpg,0.8493
broadcast_f0045_p6.jpg,tacticam_f0010_p10.jpg,0.8175
broadcast_f0045_p7.jpg,tacticam_f0040_p19.jpg,0.8118
broadcast_f0045_p8.jpg,tacticam_f0195_p50.jpg,0.78
broadcast_f0045_p9.jpg,tacticam_f0100_p18.jpg,0.7469
broadcast_f0050_p0.jpg,tacticam_f0005_p3.jpg,0.7823
broadcast_f0050_p1.jpg,tacticam_f0065_p8.jpg,0.8158
broadcast_f0050_p10.jpg,tacticam_f0055_p23.jpg,0.777
